YEAR,FISHERY_SECTOR,GEAR,MAJOR_STAT_AREA_CODE,SPECIES_CODE,SPECIES_COMMON_NAME,LANDED_KG,DISCARDED_KG,DISCARDED_PCS
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,8,607,PETRALE SOLE,12297,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,8,621,SOUTHERN ROCK SOLE,1231957,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,8,626,DOVER SOLE,91295,0,0
1955,GROUNDFISH TRAWL,BOTTOM TRAWL,8,628,ENGLISH SOLE,439898,0,0
1955,GROUNDFISH TRAWL,UNKNOWN TRAWL,1,628,ENGLISH SOLE,463,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,1,602,ARROWTOOTH FLOUNDER,178650,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,1,607,PETRALE SOLE,5908,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,1,621,SOUTHERN ROCK SOLE,73153,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,1,626,DOVER SOLE,40494,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,1,628,ENGLISH SOLE,188616,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,3,602,ARROWTOOTH FLOUNDER,886131,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,3,607,PETRALE SOLE,198375,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,3,621,SOUTHERN ROCK SOLE,35420,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,3,626,DOVER SOLE,53675,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,3,628,ENGLISH SOLE,18026,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,4,602,ARROWTOOTH FLOUNDER,54810,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,4,607,PETRALE SOLE,16529,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,4,621,SOUTHERN ROCK SOLE,50817,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,4,628,ENGLISH SOLE,2073,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,5,602,ARROWTOOTH FLOUNDER,835089,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,5,607,PETRALE SOLE,20647,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,5,621,SOUTHERN ROCK SOLE,403900,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,5,626,DOVER SOLE,15,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,5,628,ENGLISH SOLE,32174,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,6,602,ARROWTOOTH FLOUNDER,10479,0,0
