,Species,a50,a95,l50,l95
1,Dover,8.117022566,15.79811685,35.52925262,48.23239751
2,English,5.124798918,11.04180718,31.94880116,38.6777436
3,Rock,5.350150884,10.07744309,32.21421838,40.85609119
4,Petrale,5.584814203,9.370549493,37.27824234,44.8029237
5,Arrowtooth,5.586623756,9.837400602,41.37030275,51.97600529
