"","Species","lw.a","lw.b"
"1","Dover",5.13495175840413e-06,3.17060707051219
"2","English",6.34406966574619e-06,3.10139682737434
"3","Rock",5.5925983917107e-06,3.23107064519086
"4","Petrale",4.77175467875315e-06,3.2392951593623
"5","Arrowtooth",7.68330122098429e-06,3.03864624564453
